Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
700005,BLBLEND,Blue Blends (India) Ltd,Active,P ,100.00,NA          ,,Preference Shares
700006,BLBLNDS,Blue Blends India Ltd,Active,P ,100.00,NA          ,,Preference Shares
700010,SKUMSYN,SKumars Nationwide Ltd,Active,P ,100.00,NA          ,,Preference Shares
700018,BLEBLNI,Blue Blends (India) Ltd,Active,P ,100.00,NA          ,,Preference Shares
700028,SKSUGAR,Sakthi Sugars Ltd,Active,P ,100.00,NA          ,,Preference Shares
700061,SKSYNFB,SKumars Nationwide Ltd,Active,P ,100.00,NA          ,,Preference Shares
700062,SKSNFAB,SKumars Nationwide Ltd,Active,P ,100.00,NA          ,,Preference Shares
700063,SKUMSNB,SKumars Nationwide Ltd,Active,P ,100.00,NA          ,,Preference Shares
700064,SKUMARF,SKumars Nationwide Ltd,Active,P ,100.00,NA          ,,Preference Shares
700065,SKUMSYF,SKumars Nationwide Ltd,Active,P ,100.00,NA          ,,Preference Shares
700066,SRIMSPG,Sri Malini Spinning Mills Ltd,Active,P ,10.00,NA          ,,Preference Shares
700085,JSWCRPS,JSW Steel Ltd,Active,F ,10.00,INE019A04016,,Preference Shares
700087,MUKANDCRPS,Mukand Ltd,Active,F ,10.00,INE304A04012,,Preference Shares
700091,TIMEXPS,Timex Group India Ltd,Active,P ,10.00,,,Preference Shares
700099,ABANOFSHCPR,Aban  Offshore Ltd,Active,F ,10.00,INE421A04097,,Preference Shares
700102,SRRAYALPS,Sree Rayalaseema Alkalies &amp; Allied,Active,F ,10.00,INE284B04014,,Preference Shares
700110,TIMEXWATCRP,Timex Group India Ltd,Active,F ,10.00,INE064A04020,,Preference Shares
700129,ABAN30DEC06,Aban  Offshore Ltd,Active,F ,10.00,INE421A04071,,Preference Shares
700130,ABAN01MAR07,Aban  Offshore Ltd,Active,F ,10.00,INE421A04063,,Preference Shares
700131,ABAN31MAR07,Aban  Offshore Ltd,Active,F ,10.00,INE421A04089,,Preference Shares
700133,3DPLM,3D PLM Software Solutions Ltd	,Active,F ,68.00,INE657W04017,,Preference Shares
700134,VEDLRPS,Vedanta Ltd,Active,F ,10.00,INE205A04011,,Preference Shares
710028,SKSYNFA,SKumars Nationwide Ltd,Active,P ,100.00,NA          ,,Preference Shares
710045,JCOPOCRPS1,Jhagadia Copper Ltd,Active,F ,100.00,INE666A03065,,Preference Shares
710046,JCOPOCRPS2,Jhagadia Copper Ltd,Active,F ,100.00,INE666A03040,,Preference Shares
710047,JCOPOCRPS3,Jhagadia Copper Ltd,Active,F ,100.00,INE666A03057,,Preference Shares
710048,JCOPOCCRPS4,Jhagadia Copper Ltd,Active,F ,100.00,INE666A03081,,Preference Shares
710055,UPLOCPS,UPL Ltd,Active,F ,10.00,INE628A03024,,Preference Shares
710056,UPLCCPS,UPL Ltd,Active,F ,10.00,INE628A03016,,Preference Shares
715001,9LTFIN18PRF,L&amp;T FINANCE HOLDINGS Ltd,Active,F ,100.00,INE498L04035,,Preference Shares
715003,ILFSTN18PRF,IL&amp;FS Transportation Networks Ltd,Active,F ,10.00,INE975G04024,,Preference Shares
715004,ILFS1606PFA,Infrastructure Leasing &amp; Financial Services Ltd,Active,F ,7500.00,INE871D04063,,Preference Shares
715005,ILFS1606PFB,Infrastructure Leasing &amp; Financial Services Ltd,Active,F ,7500.00,INE871D04071,,Preference Shares
715006,1599ILFS21,Infrastructure Leasing &amp; Financial Services Ltd,Active,F ,7500.00,INE871D04089,,Preference Shares
715010,850LTFH17,L&amp;T FINANCE HOLDINGS Ltd,Active,F ,100.00,INE498L04050,,Preference Shares
715012,835LTFH19B,L&amp;T FINANCE HOLDINGS Ltd,Active,F ,100.00,INE498L04076,,Preference Shares
715013,5LTIDFL22,L&amp;T Infra Debt Fund Ltd,Active,F ,1000000.00,INE235P04024,,Preference Shares
715014,815LTFH2020,L&amp;T FINANCE HOLDINGS Ltd,Active,F ,100.00,INE498L04084,,Preference Shares
715015,1646ILFS22,Infrastructure Leasing &amp; Financial Services Ltd,Active,F ,7500.00,INE871D04097,,Preference Shares
715016,1646ILFS22A,Infrastructure Leasing &amp; Financial Services Ltd,Active,F ,7500.00,INE871D04105,,Preference Shares
715017,1646ILFS22B,Infrastructure Leasing &amp; Financial Services Ltd,Active,F ,7500.00,INE871D04113,,Preference Shares
715018,1646ILFS22C,Infrastructure Leasing &amp; Financial Services Ltd,Active,F ,7500.00,INE871D04121,,Preference Shares
715019,1646ILFS22D,Infrastructure Leasing &amp; Financial Services Ltd,Active,F ,7500.00,INE871D04139,,Preference Shares
715020,1646ILFS22E,Infrastructure Leasing &amp; Financial Services Ltd,Active,F ,7500.00,INE871D04147,,Preference Shares
715021,1646ILFS22F,Infrastructure Leasing &amp; Financial Services Ltd,Active,F ,7500.00,INE871D04154,,Preference Shares
715022,850TCIL22,Thomas Cook (India) Ltd,Active,F ,10.00,INE332A04039,,Preference Shares
715023,ILFS30MAR16,IL&amp;FS Financial Services Ltd,Active,F ,7500.00,INE121H04015,,Preference Shares
715024,001PSL35,Premier Synthetics Ltd,Active,F ,100.00,INE940N04016,,Preference Shares
715025,5LTIDFL24,L&amp;T Infra Debt Fund Ltd,Active,F ,1000000.00,INE235P04040,,Preference Shares
717502,JSWNCPS,JSW Steel Ltd,Active,F ,10.00,INE019A04024,,Preference Shares
717503,ZEENCPS,Zee Entertainment Enterprises Ltd,Active,F ,10.00,INE256A04022,,Preference Shares
